Country,Year,Spot_Price_72,Crude_oil_exports_52,Demand,Exports,Gas_Reserve,Imports,Production,Oil_demand_46,Oil_exports_dest_51,Refinery_capacity_41,Refinery_throughput_43,World_Production,ActiveRigs-table3.2,AccountBalance-table2.7,WellsCompleted-table3.3,Population-table2.1,petroleumExport-table2.5,GDP-table2.2,GDPGrowthRate-table2.3,ExportValue-table2.4,crudeOilReserve-table3.1,CrudeOilProdution-table3.5,bioFuelProdution-table3.7
Nigeria,1993,17.57,"1,557.00","5,051",0,"3,683",,"5,050",216,,401,258,"5,050","15,790","15,790","15,790","15,790","15,790","15,790","15,790","15,790","15,790","15,790","15,790"
Saudi Arabia,1993,15.68,"6,292.90","35,905",,"5,249",,"40,040","1,104",,"1,550","1,472","40,040","132,791","132,791","132,791","132,791","132,791","132,791","132,791","132,791","132,791","132,791","132,791"
United Arab Emirates,1993,16.9,"1,970.00","22,587","7,950","5,795","4,600","22,990",402,,205,194,"22,990","55,602","55,602","55,602","55,602","55,602","55,602","55,602","55,602","55,602","55,602","55,602"
Venezuela,1993,na,"1,540.30","23,081",,"3,693",0,"25,613",440,,"1,288",910,"25,613","59,865","59,865","59,865","59,865","59,865","59,865","59,865","59,865","59,865","59,865","59,865"
OPEC,1993,16.33,"17,802.40","145,142","45,360","48,863","4,600","198,723","4,202",,,"5,216","198,723","480,854","480,854","480,854","480,854","480,854","480,854","480,854","480,854","480,854","480,854","480,854"
Algeria,1994,16.19,329.2,"19,553","31,610","2,963",,"51,157",185,,469,396,"51,157","42,430","42,430","42,430","42,430","42,430","42,430","42,430","42,430","42,430","42,430","42,430"
Angola,1994,na,500.6,560,0,51,,560,35,,47,41,560,"4,438","4,438","4,438","4,438","4,438","4,438","4,438","4,438","4,438","4,438","4,438"
Congo,1994,na,164.4,0,0,90,,0,2,,21,9,0,"1,769","1,769","1,769","1,769","1,769","1,769","1,769","1,769","1,769","1,769","1,769"
Equatorial Guinea,1994,na,4.4,0,0,17,,0,1,,,,0,120,120,120,120,120,120,120,120,120,120,120
Gabon,1994,na,309,100,,12,,100,14,,25,19,100,"4,463","4,463","4,463","4,463","4,463","4,463","4,463","4,463","4,463","4,463","4,463"
IR Iran,1994,14.56,"2,650.00","31,805",0,"20,764",0,"40,400","1,159",,"1,073",,"40,400","72,595","72,595","72,595","72,595","72,595","72,595","72,595","72,595","72,595","72,595","72,595"
Iraq,1994,na,60,"3,170",,"3,115",0,"3,170",411,,598,444,"3,170","3,621","3,621","3,621","3,621","3,621","3,621","3,621","3,621","3,621","3,621","3,621"
Kuwait,1994,14.11,"1,263.50","5,971",,"1,499",0,"5,970",150,,820,690,"5,970","24,796","24,796","24,796","24,796","24,796","24,796","24,796","24,796","24,796","24,796","24,796"
Libya,1994,15.57,"1,125.00","4,911","1,480","1,310",,"6,390",177,,565,301,"6,390","28,611","28,611","28,611","28,611","28,611","28,611","28,611","28,611","28,611","28,611","28,611"
Nigeria,1994,16.21,"1,590.00","4,551",0,"3,450",,"4,550",166,,401,167,"4,550","18,086","18,086","18,086","18,086","18,086","18,086","18,086","18,086","18,086","18,086","18,086"
Saudi Arabia,1994,15.39,"6,233.60","37,705",,"5,260",,"42,770","1,126",,"1,670","1,492","42,770","134,995","134,995","134,995","134,995","134,995","134,995","134,995","134,995","134,995","134,995","134,995"
United Arab Emirates,1994,16.21,"1,955.00","21,686","8,850","6,777","4,700","25,820",420,,205,193,"25,820","59,281","59,281","59,281","59,281","59,281","59,281","59,281","59,281","59,281","59,281","59,281"
Venezuela,1994,na,"1,696.40","24,813",,"3,965",0,"24,675",426,,"1,288",883,"24,675","58,357","58,357","58,357","58,357","58,357","58,357","58,357","58,357","58,357","58,357","58,357"
OPEC,1994,15.53,"17,881.10","154,824","41,940","49,273","4,700","205,562","4,273",,,"5,531","205,562","453,561","453,561","453,561","453,561","453,561","453,561","453,561","453,561","453,561","453,561","453,561"
Algeria,1995,17.41,332.8,"21,013","37,090","3,690",,"55,622",180,,462,408,"55,622","42,079","42,079","42,079","42,079","42,079","42,079","42,079","42,079","42,079","42,079","42,079"
Angola,1995,na,566.7,560,0,49,,560,33,,47,41,560,"7,251","7,251","7,251","7,251","7,251","7,251","7,251","7,251","7,251","7,251","7,251"
Congo,1995,na,175.7,0,0,90,,0,2,,21,9,0,"2,116","2,116","2,116","2,116","2,116","2,116","2,116","2,116","2,116","2,116","2,116"
Equatorial Guinea,1995,na,0.7,0,0,17,,0,1,,,,0,169,169,169,169,169,169,169,169,169,169,169
Gabon,1995,na,350.3,100,,34,,100,15,,25,19,100,"5,281","5,281","5,281","5,281","5,281","5,281","5,281","5,281","5,281","5,281","5,281"
IR Iran,1995,16.26,"2,621.00","35,205",100,"19,350",0,"38,600","1,168",,"1,073",,"38,600","98,287","98,287","98,287","98,287","98,287","98,287","98,287","98,287","98,287","98,287","98,287"
Iraq,1995,na,63.5,"3,170",,"3,360",0,"3,170",399,,598,440,"3,170","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000"
Kuwait,1995,15.9,"1,186.40","5,971",,"1,494",0,"9,278",162,,820,753,"9,278","27,189","27,189","27,189","27,189","27,189","27,189","27,189","27,189","27,189","27,189","27,189"
Libya,1995,17.06,"1,120.30","4,851","1,490","1,313",,"6,340",198,,565,295,"6,340","25,541","25,541","25,541","25,541","25,541","25,541","25,541","25,541","25,541","25,541","25,541"
Nigeria,1995,17.34,"1,665.00","5,191",0,"3,474",,"4,844",195,,424,206,"4,844","36,945","36,945","36,945","36,945","36,945","36,945","36,945","36,945","36,945","36,945","36,945"
Saudi Arabia,1995,16.73,"6,290.80","38,045",,"5,545",,"42,930","1,089",,"1,670","1,505","42,930","143,152","143,152","143,152","143,152","143,152","143,152","143,152","143,152","143,152","143,152","143,152"
United Arab Emirates,1995,17.18,"1,925.00","24,794","11,830","5,859","5,300","31,320",420,,211,201,"31,320","65,717","65,717","65,717","65,717","65,717","65,717","65,717","65,717","65,717","65,717","65,717"
Venezuela,1995,na,"1,819.90","25,212",,"4,065",0,"25,200",429,,"1,288",948,"25,200","77,427","77,427","77,427","77,427","77,427","77,427","77,427","77,427","77,427","77,427","77,427"
OPEC,1995,16.86,"18,118.20","164,110","50,510","48,339","5,300","217,964","4,290",,,"5,768","217,964","535,154","535,154","535,154","535,154","535,154","535,154","535,154","535,154","535,154","535,154","535,154"
Algeria,1996,21.33,390.8,"21,583","40,550","3,700",,"59,024",177,,462,387,"59,024","46,944","46,944","46,944","46,944","46,944","46,944","46,944","46,944","46,944","46,944","46,944"
Angola,1996,na,621.8,560,0,49,,560,35,,47,42,560,"6,561","6,561","6,561","6,561","6,561","6,561","6,561","6,561","6,561","6,561","6,561"
Congo,1996,na,189.1,0,0,90,,0,2,,21,10,0,"2,541","2,541","2,541","2,541","2,541","2,541","2,541","2,541","2,541","2,541","2,541"
Equatorial Guinea,1996,na,13.8,0,0,18,,0,1,,,,0,276,276,276,276,276,276,276,276,276,276,276
Gabon,1996,na,348.9,100,,34,,100,15,,25,19,100,"6,064","6,064","6,064","6,064","6,064","6,064","6,064","6,064","6,064","6,064","6,064"
IR Iran,1996,18.49,"2,630.00","40,116",100,"23,000",0,"40,410","1,193",,"1,073",,"40,410","119,693","119,693","119,693","119,693","119,693","119,693","119,693","119,693","119,693","119,693","119,693"
Iraq,1996,na,88.1,"3,240",,"3,360",0,"3,240",387,,598,419,"3,240","5,556","5,556","5,556","5,556","5,556","5,556","5,556","5,556","5,556","5,556","5,556"
Kuwait,1996,18.41,"1,224.20","9,301",,"1,489",0,"9,302",158,,797,723,"9,302","31,492","31,492","31,492","31,492","31,492","31,492","31,492","31,492","31,492","31,492","31,492"
Libya,1996,20.7,"1,123.40","5,221","1,200","1,313",,"6,420",200,,565,299,"6,420","27,885","27,885","27,885","27,885","27,885","27,885","27,885","27,885","27,885","27,885","27,885"
Nigeria,1996,21.24,"1,812.90","5,461",0,"3,475",,"5,460",209,,424,247,"5,460","46,020","46,020","46,020","46,020","46,020","46,020","46,020","46,020","46,020","46,020","46,020"
Saudi Arabia,1996,19.91,"6,109.30","41,346",,"5,693",,"44,510","1,155",,"1,670","1,539","44,510","158,451","158,451","158,451","158,451","158,451","158,451","158,451","158,451","158,451","158,451","158,451"
United Arab Emirates,1996,20.3,"1,943.20","27,154","12,150","5,784","5,500","33,800",413,,281,235,"33,800","73,541","73,541","73,541","73,541","73,541","73,541","73,541","73,541","73,541","73,541","73,541"
Venezuela,1996,na,"1,976.40","27,204",,"4,052",0,"29,730",446,,"1,283",992,"29,730","70,536","70,536","70,536","70,536","70,536","70,536","70,536","70,536","70,536","70,536","70,536"
OPEC,1996,20.29,"18,471.90","181,285","54,000","52,057","5,500","232,556","4,390",,,"5,904","232,556","595,559","595,559","595,559","595,559","595,559","595,559","595,559","595,559","595,559","595,559","595,559"
Algeria,1997,19.62,373.1,"20,163","48,740","4,077",,"67,714",171,,462,413,"67,714","48,203","48,203","48,203","48,203","48,203","48,203","48,203","48,203","48,203","48,203","48,203"
Angola,1997,na,660.7,570,0,46,,570,36,,54,43,570,"7,640","7,640","7,640","7,640","7,640","7,640","7,640","7,640","7,640","7,640","7,640"
Congo,1997,na,241,0,0,90,,0,1,,21,10,0,"2,323","2,323","2,323","2,323","2,323","2,323","2,323","2,323","2,323","2,323","2,323"
Equatorial Guinea,1997,na,41.3,0,0,18,,0,1,,,,0,526,526,526,526,526,526,526,526,526,526,526
Gabon,1997,na,352,100,,34,,100,18,,25,19,100,"5,673","5,673","5,673","5,673","5,673","5,673","5,673","5,673","5,673","5,673","5,673"
IR Iran,1997,18,"2,587.00","47,107",0,"23,000",100,"47,000","1,253",,"1,189",,"47,000","115,071","115,071","115,071","115,071","115,071","115,071","115,071","115,071","115,071","115,071","115,071"
Iraq,1997,na,746.6,"2,950",,"3,188",0,"3,050",392,,598,444,"3,050","10,261","10,261","10,261","10,261","10,261","10,261","10,261","10,261","10,261","10,261","10,261"
Kuwait,1997,17.81,"1,134.20","9,271",,"1,490",0,"9,270",177,,875,808,"9,270","30,350","30,350","30,350","30,350","30,350","30,350","30,350","30,350","30,350","30,350","30,350"
Libya,1997,19,"1,115.70","5,451","1,120","1,315",,"6,570",200,,565,297,"6,570","30,701","30,701","30,701","30,701","30,701","30,701","30,701","30,701","30,701","30,701","30,701"
Nigeria,1997,19.4,"1,855.50","5,851",0,"3,483",,"5,850",217,,424,247,"5,850","35,386","35,386","35,386","35,386","35,386","35,386","35,386","35,386","35,386","35,386","35,386"
Saudi Arabia,1997,18.71,"6,184.50","45,346",,"5,882",,"45,840","1,183",,"1,693","1,535","45,840","165,742","165,742","165,742","165,742","165,742","165,742","165,742","165,742","165,742","165,742","165,742"
United Arab Emirates,1997,19.59,"1,949.00","29,004","12,410","6,063","5,100","36,310",420,,281,242,"36,310","78,807","78,807","78,807","78,807","78,807","78,807","78,807","78,807","78,807","78,807","78,807"
Venezuela,1997,na,"2,210.80","28,144",,"4,121",0,"30,211",472,,"1,283","1,030","30,211","85,667","85,667","85,667","85,667","85,667","85,667","85,667","85,667","85,667","85,667","85,667"
OPEC,1997,18.68,"19,451.40","193,957","62,270","52,807","5,200","252,485","4,540",,,"6,099","252,485","616,350","616,350","616,350","616,350","616,350","616,350","616,350","616,350","616,350","616,350","616,350"
Algeria,1998,13.02,549.4,"20,853","52,900","4,077",,"72,511",174,,462,385,"72,511","48,191","48,191","48,191","48,191","48,191","48,191","48,191","48,191","48,191","48,191","48,191"
Angola,1998,na,725.4,580,0,48,,580,32,,54,40,580,"6,517","6,517","6,517","6,517","6,517","6,517","6,517","6,517","6,517","6,517","6,517"
Congo,1998,na,259.1,0,0,122,,0,2,,21,10,0,"1,949","1,949","1,949","1,949","1,949","1,949","1,949","1,949","1,949","1,949","1,949"
Equatorial Guinea,1998,na,69.2,20,0,18,,20,1,,,,20,440,440,440,440,440,440,440,440,440,440,440
Gabon,1998,na,335.8,100,,33,,100,18,,25,19,100,"4,774","4,774","4,774","4,774","4,774","4,774","4,774","4,774","4,774","4,774","4,774"
IR Iran,1998,11.45,"2,512.00","51,757",0,"24,100","1,750","50,000","1,246",,"1,368",,"50,000","105,894","105,894","105,894","105,894","105,894","105,894","105,894","105,894","105,894","105,894","105,894"
Iraq,1998,10.77,"1,417.60","2,850",,"3,188",0,"2,950",404,,598,478,"2,950","10,572","10,572","10,572","10,572","10,572","10,572","10,572","10,572","10,572","10,572","10,572"
Kuwait,1998,11.26,"1,190.00","9,001",,"1,482",0,"9,491",209,,830,790,"9,491","25,944","25,944","25,944","25,944","25,944","25,944","25,944","25,944","25,944","25,944","25,944"
Libya,1998,12.9,"1,161.00","5,451",910,"1,315",,"6,360",205,,565,274,"6,360","27,251","27,251","27,251","27,251","27,251","27,251","27,251","27,251","27,251","27,251","27,251"
Nigeria,1998,12.77,"1,832.80","5,901",0,"3,512",,"5,900",208,,424,146,"5,900","32,749","32,749","32,749","32,749","32,749","32,749","32,749","32,749","32,749","32,749","32,749"
Saudi Arabia,1998,12.2,"6,390.40","46,827",,"6,068",,"46,720","1,278",,"1,780","1,557","46,720","146,775","146,775","146,775","146,775","146,775","146,775","146,775","146,775","146,775","146,775","146,775"
United Arab Emirates,1998,12.67,"2,039.00","30,394","12,530","5,996","5,850","37,070",415,,281,206,"37,070","75,674","75,674","75,674","75,674","75,674","75,674","75,674","75,674","75,674","75,674","75,674"
Venezuela,1998,na,"2,243.90","31,444",,"4,147",0,"31,440",494,,"1,283","1,056","31,440","91,905","91,905","91,905","91,905","91,905","91,905","91,905","91,905","91,905","91,905","91,905"
OPEC,1998,12.28,"20,725.60","205,179","66,340","54,106","7,600","263,142","4,686",,,"6,223","263,142","578,636","578,636","578,636","578,636","578,636","578,636","578,636","578,636","578,636","578,636","578,636"
Algeria,1999,18.12,414.6,"21,313","60,120","4,520",,"81,507",182,,462,418,"81,507","48,642","48,642","48,642","48,642","48,642","48,642","48,642","48,642","48,642","48,642","48,642"
Angola,1999,na,732.2,560,0,60,,560,39,,54,44,560,"6,153","6,153","6,153","6,153","6,153","6,153","6,153","6,153","6,153","6,153","6,153"
Congo,1999,na,270,0,0,122,,0,2,,21,10,0,"2,354","2,354","2,354","2,354","2,354","2,354","2,354","2,354","2,354","2,354","2,354"
Equatorial Guinea,1999,na,79,20,0,18,,20,1,,,,20,738,738,738,738,738,738,738,738,738,738,738
Gabon,1999,na,314.2,100,,33,,100,17,,25,19,100,"4,966","4,966","4,966","4,966","4,966","4,966","4,966","4,966","4,966","4,966","4,966"
IR Iran,1999,16.93,"2,291.00","59,808",0,"22,370","2,000","56,755","1,222",,"1,368",,"56,755","113,237","113,237","113,237","113,237","113,237","113,237","113,237","113,237","113,237","113,237","113,237"
Iraq,1999,16.28,"2,130.90","2,700",,"3,285",0,"3,180",412,,598,461,"3,180","17,477","17,477","17,477","17,477","17,477","17,477","17,477","17,477","17,477","17,477","17,477"
Kuwait,1999,16.75,948.2,"8,641",,"1,482",0,"8,688",236,,899,834,"8,688","30,123","30,123","30,123","30,123","30,123","30,123","30,123","30,123","30,123","30,123","30,123"
Libya,1999,18.04,991.7,"4,241",960,"1,314",,"5,200",211,,565,315,"5,200","30,484","30,484","30,484","30,484","30,484","30,484","30,484","30,484","30,484","30,484","30,484"
Nigeria,1999,18.07,"1,705.10","6,211",740,"3,512",,"6,950",199,,424,168,"6,950","32,526","32,526","32,526","32,526","32,526","32,526","32,526","32,526","32,526","32,526","32,526"
Saudi Arabia,1999,17.45,"5,719.70","46,207",,"6,146",,"46,200","1,288",,"1,810","1,617","46,200","161,717","161,717","161,717","161,717","161,717","161,717","161,717","161,717","161,717","161,717","161,717"
United Arab Emirates,1999,17.89,"1,919.00","30,974","12,470","5,936","5,400","38,990",409,,401,248,"38,990","84,445","84,445","84,445","84,445","84,445","84,445","84,445","84,445","84,445","84,445","84,445"
Venezuela,1999,na,"1,923.00","26,784",,"4,152",0,"26,771",452,,"1,283","1,049","26,771","97,239","97,239","97,239","97,239","97,239","97,239","97,239","97,239","97,239","97,239","97,239"
OPEC,1999,17.48,"19,438.60","207,559","74,290","52,950","7,400","274,921","4,669",,,"6,419","274,921","630,101","630,101","630,101","630,101","630,101","630,101","630,101","630,101","630,101","630,101","630,101"
Algeria,2000,28.77,462.2,"20,563","61,693","4,523",,"83,119",192,,462,407,"83,119","54,793","54,793","54,793","54,793","54,793","54,793","54,793","54,793","54,793","54,793","54,793"
Angola,2000,na,748.6,570,0,269,,570,42,,54,42,570,"9,130","9,130","9,130","9,130","9,130","9,130","9,130","9,130","9,130","9,130","9,130"
Congo,2000,na,272.2,0,0,122,,0,2,,21,10,0,"3,220","3,220","3,220","3,220","3,220","3,220","3,220","3,220","3,220","3,220","3,220"
Equatorial Guinea,2000,na,91.5,30,0,17,,30,2,,,,30,"1,156","1,156","1,156","1,156","1,156","1,156","1,156","1,156","1,156","1,156","1,156"
Gabon,2000,na,300,80,,33,,80,15,,25,19,80,"5,397","5,397","5,397","5,397","5,397","5,397","5,397","5,397","5,397","5,397","5,397"
IR Iran,2000,26.02,"2,492.20","62,899",0,"26,600","2,650","60,240","1,220",,"1,368",,"60,240","109,592","109,592","109,592","109,592","109,592","109,592","109,592","109,592","109,592","109,592","109,592"
Iraq,2000,24.92,"2,039.80","2,900",,"3,109",0,"3,150",460,,598,513,"3,150","26,018","26,018","26,018","26,018","26,018","26,018","26,018","26,018","26,018","26,018","26,018"
Kuwait,2000,25.78,"1,230.70","9,601",,"1,557",0,"9,600",225,,899,680,"9,600","37,721","37,721","37,721","37,721","37,721","37,721","37,721","37,721","37,721","37,721","37,721"
Libya,2000,28.62,"1,005.00","5,201",800,"1,314",,"5,880",203,,603,351,"5,880","34,495","34,495","34,495","34,495","34,495","34,495","34,495","34,495","34,495","34,495","34,495"
Nigeria,2000,28.49,"1,986.40","6,731","5,730","4,106",,"12,460",219,,445,109,"12,460","41,637","41,637","41,637","41,637","41,637","41,637","41,637","41,637","41,637","41,637","41,637"
Saudi Arabia,2000,26.81,"6,253.10","49,817",,"6,301",,"49,810","1,410",,"1,825","1,669","49,810","189,515","189,515","189,515","189,515","189,515","189,515","189,515","189,515","189,515","189,515","189,515"
United Arab Emirates,2000,27.75,"1,814.90","31,434","12,350","6,060","5,400","38,380",405,,420,315,"38,380","104,337","104,337","104,337","104,337","104,337","104,337","104,337","104,337","104,337","104,337","104,337"
Venezuela,2000,na,"2,003.50","27,204",,"4,152",0,"27,801",497,,"1,294","1,143","27,801","117,676","117,676","117,676","117,676","117,676","117,676","117,676","117,676","117,676","117,676","117,676"
OPEC,2000,27.6,"20,700.10","217,030","80,573","58,163","8,050","291,120","4,892",,,"6,457","291,120","734,686","734,686","734,686","734,686","734,686","734,686","734,686","734,686","734,686","734,686","734,686"
Algeria,2001,24.74,441.5,"20,443","56,975","4,523",,"78,240",192,,462,425,"78,240","54,710","54,710","54,710","54,710","54,710","54,710","54,710","54,710","54,710","54,710","54,710"
Angola,2001,na,693.9,530,0,269,,530,48,,54,43,530,"8,936","8,936","8,936","8,936","8,936","8,936","8,936","8,936","8,936","8,936","8,936"
Congo,2001,na,245,0,0,122,,0,2,,21,10,0,"2,797","2,797","2,797","2,797","2,797","2,797","2,797","2,797","2,797","2,797","2,797"
Equatorial Guinea,2001,na,119.9,30,0,22,,20,1,,,,20,"1,672","1,672","1,672","1,672","1,672","1,672","1,672","1,672","1,672","1,672","1,672"
Gabon,2001,na,256.8,80,,33,,80,16,,25,19,80,"5,022","5,022","5,022","5,022","5,022","5,022","5,022","5,022","5,022","5,022","5,022"
IR Iran,2001,21.67,"2,184.60","70,190",358,"26,600","4,200","66,000","1,251",,"1,368",,"66,000","126,879","126,879","126,879","126,879","126,879","126,879","126,879","126,879","126,879","126,879","126,879"
Iraq,2001,20,"1,710.20","2,760",,"3,109",0,"2,760",503,,598,483,"2,760","20,342","20,342","20,342","20,342","20,342","20,342","20,342","20,342","20,342","20,342","20,342"
Kuwait,2001,21.37,"1,214.10","8,501",,"1,557",0,"9,500",229,,899,665,"9,500","34,886","34,886","34,886","34,886","34,886","34,886","34,886","34,886","34,886","34,886","34,886"
Libya,2001,24.7,987.6,"5,391",770,"1,314",,"6,180",214,,603,355,"6,180","29,880","29,880","29,880","29,880","29,880","29,880","29,880","29,880","29,880","29,880","29,880"
Nigeria,2001,24.5,"2,009.40","6,211","8,690","4,633",,"14,900",251,,445,229,"14,900","41,649","41,649","41,649","41,649","41,649","41,649","41,649","41,649","41,649","41,649","41,649"
Saudi Arabia,2001,23.06,"6,035.90","53,698",,"6,456",,"53,690","1,439",,"1,825","1,662","53,690","184,138","184,138","184,138","184,138","184,138","184,138","184,138","184,138","184,138","184,138","184,138"
United Arab Emirates,2001,24.02,"1,786.70","32,485","13,730","6,060","6,650","44,940",403,,700,553,"44,940","103,312","103,312","103,312","103,312","103,312","103,312","103,312","103,312","103,312","103,312","103,312"
Venezuela,2001,na,"1,964.70","31,714",,"4,180",0,"31,710",508,,"1,294","1,060","31,710","123,156","123,156","123,156","123,156","123,156","123,156","123,156","123,156","123,156","123,156","123,156"
OPEC,2001,23.12,"19,650.30","232,032","80,523","58,877","10,850","308,550","5,058",,,"6,745","308,550","737,377","737,377","737,377","737,377","737,377","737,377","737,377","737,377","737,377","737,377","737,377"
Algeria,2002,24.91,566.2,"20,413","57,864","4,523",,"80,367",208,,462,414,"80,367","56,762","56,762","56,762","56,762","56,762","56,762","56,762","56,762","56,762","56,762","56,762"
Angola,2002,31.02,849.3,600,0,269,,600,51,,80,45,600,"15,286","15,286","15,286","15,286","15,286","15,286","15,286","15,286","15,286","15,286","15,286"
Congo,2002,na,240.3,0,0,120,,0,2,,21,10,0,"3,034","3,034","3,034","3,034","3,034","3,034","3,034","3,034","3,034","3,034","3,034"
Equatorial Guinea,2002,na,164.2,"1,270",0,32,,100,1,,,,100,"2,061","2,061","2,061","2,061","2,061","2,061","2,061","2,061","2,061","2,061","2,061"
Gabon,2002,na,234.7,90,,33,,80,17,,25,19,80,"5,327","5,327","5,327","5,327","5,327","5,327","5,327","5,327","5,327","5,327","5,327"
IR Iran,2002,23.09,"2,093.60","79,241",670,"26,690","4,900","75,000","1,286",,"1,368",,"75,000","128,627","128,627","128,627","128,627","128,627","128,627","128,627","128,627","128,627","128,627","128,627"
Iraq,2002,23.32,"1,494.60","2,360",,"3,190",0,"2,360",492,,598,560,"2,360","19,657","19,657","19,657","19,657","19,657","19,657","19,657","19,657","19,657","19,657","19,657"
Kuwait,2002,23.61,"1,138.00","8,001",,"1,557",0,"8,710",238,,899,723,"8,710","38,135","38,135","38,135","38,135","38,135","38,135","38,135","38,135","38,135","38,135","38,135"
Libya,2002,24.55,983.6,"5,581",630,"1,503",,"5,900",216,,603,341,"5,900","20,394","20,394","20,394","20,394","20,394","20,394","20,394","20,394","20,394","20,394","20,394"
Nigeria,2002,25.15,"1,798.20","6,361","8,633","4,997",,"15,967",246,,445,209,"15,967","54,471","54,471","54,471","54,471","54,471","54,471","54,471","54,471","54,471","54,471","54,471"
Saudi Arabia,2002,24.32,"5,284.60","56,708",,"6,646",,"57,320","1,540",,"1,825","1,628","57,320","189,606","189,606","189,606","189,606","189,606","189,606","189,606","189,606","189,606","189,606","189,606"
United Arab Emirates,2002,24.87,"1,614.00","36,445","15,950","6,060","9,000","43,390",406,,700,591,"43,390","109,816","109,816","109,816","109,816","109,816","109,816","109,816","109,816","109,816","109,816","109,816"
Venezuela,2002,na,"1,572.00","28,414",,"4,181",0,"28,415",491,,"1,298","1,107","28,415","95,570","95,570","95,570","95,570","95,570","95,570","95,570","95,570","95,570","95,570","95,570"
OPEC,2002,24.36,"18,033.40","245,484","83,747","59,801","13,900","318,209","5,195",,,"6,824","318,209","738,747","738,747","738,747","738,747","738,747","738,747","738,747","738,747","738,747","738,747","738,747"
Algeria,2003,28.73,741,"20,523","59,850","4,545",,"82,829",222,,462,419,"82,829","67,860","67,860","67,860","67,860","67,860","67,860","67,860","67,860","67,860","67,860","67,860"
Angola,2003,28.33,823,650,0,269,,650,61,,80,39,650,"17,813","17,813","17,813","17,813","17,813","17,813","17,813","17,813","17,813","17,813","17,813"
Congo,2003,na,235.8,0,0,117,,0,3,,21,10,0,"3,504","3,504","3,504","3,504","3,504","3,504","3,504","3,504","3,504","3,504","3,504"
Equatorial Guinea,2003,na,173.4,"1,300",0,33,,100,1,,,,100,"3,765","3,765","3,765","3,765","3,765","3,765","3,765","3,765","3,765","3,765","3,765"
Gabon,2003,na,226.4,90,,32,,90,16,,25,19,90,"6,509","6,509","6,509","6,509","6,509","6,509","6,509","6,509","6,509","6,509","6,509"
IR Iran,2003,26.34,"2,396.30","82,412","3,413","27,570","4,920","81,500","1,341",,"1,368",,"81,500","153,545","153,545","153,545","153,545","153,545","153,545","153,545","153,545","153,545","153,545","153,545"
Iraq,2003,26.6,388.6,"1,560",,"3,170",0,"1,560",405,,598,452,"1,560","15,282","15,282","15,282","15,282","15,282","15,282","15,282","15,282","15,282","15,282","15,282"
Kuwait,2003,26.89,"1,242.90","9,101",,"1,572",0,"10,000",297,,831,793,"10,000","47,844","47,844","47,844","47,844","47,844","47,844","47,844","47,844","47,844","47,844","47,844"
Libya,2003,28.21,"1,127.00","4,751",750,"1,491",,"5,500",224,,603,334,"5,500","28,896","28,896","28,896","28,896","28,896","28,896","28,896","28,896","28,896","28,896","28,896"
Nigeria,2003,28.77,"2,163.50","8,511","11,790","5,055",,"19,023",235,,445,118,"19,023","61,949","61,949","61,949","61,949","61,949","61,949","61,949","61,949","61,949","61,949","61,949"
Saudi Arabia,2003,27.69,"6,522.90","60,069",,"6,754",,"60,060","1,608",,"2,064","1,789","60,060","215,808","215,808","215,808","215,808","215,808","215,808","215,808","215,808","215,808","215,808","215,808"
United Arab Emirates,2003,28.25,"2,048.00","37,885","15,910","6,060","9,000","44,800",454,,675,581,"44,800","124,346","124,346","124,346","124,346","124,346","124,346","124,346","124,346","124,346","124,346","124,346"
Venezuela,2003,na,"1,535.00","24,403",,"4,219",0,"26,060",475,,"1,287","1,046","26,060","83,670","83,670","83,670","83,670","83,670","83,670","83,670","83,670","83,670","83,670","83,670"
OPEC,2003,28.1,"19,623.80","251,255","91,713","60,887","13,920","332,172","5,342",,,"6,819","332,172","830,790","830,790","830,790","830,790","830,790","830,790","830,790","830,790","830,790","830,790","830,790"
Algeria,2004,38.35,893.2,"19,283","59,637","4,545",,"82,009",239,,462,366,"82,009","85,331","85,331","85,331","85,331","85,331","85,331","85,331","85,331","85,331","85,331","85,331"
Angola,2004,35.77,940.9,750,0,270,,750,64,,80,41,750,"23,552","23,552","23,552","23,552","23,552","23,552","23,552","23,552","23,552","23,552","23,552"
Congo,2004,na,224.3,120,0,115,,120,3,,21,10,120,"4,657","4,657","4,657","4,657","4,657","4,657","4,657","4,657","4,657","4,657","4,657"
Equatorial Guinea,2004,36.26,238.3,100,0,77,,"1,300",1,,,,"1,300","5,950","5,950","5,950","5,950","5,950","5,950","5,950","5,950","5,950","5,950","5,950"
Gabon,2004,na,220.9,100,,30,,100,19,,25,19,100,"7,764","7,764","7,764","7,764","7,764","7,764","7,764","7,764","7,764","7,764","7,764"
IR Iran,2004,33.06,"2,684.10","85,552","3,560","27,500","5,200","89,663","1,402",,"1,368",,"89,663","190,043","190,043","190,043","190,043","190,043","190,043","190,043","190,043","190,043","190,043","190,043"
Iraq,2004,34.6,"1,450.00","1,000",,"3,170",0,"1,000",466,,598,448,"1,000","36,638","36,638","36,638","36,638","36,638","36,638","36,638","36,638","36,638","36,638","36,638"
Kuwait,2004,34.08,"1,414.90","9,701",,"1,572",0,"10,900",330,,936,837,"10,900","59,439","59,439","59,439","59,439","59,439","59,439","59,439","59,439","59,439","59,439","59,439"
