Country,Year,Spot_Price_72,Crude_oil_exports_52,Demand,Exports,Gas_Reserve,Imports,Production,Oil_demand_46,Oil_exports_dest_51,Refinery_capacity_41,Refinery_throughput_43,World_Production,ActiveRigs-table3.2,AccountBalance-table2.7,WellsCompleted-table3.3,Population-table2.1,petroleumExport-table2.5,GDP-table2.2,GDPGrowthRate-table2.3,ExportValue-table2.4,crudeOilReserve-table3.1,CrudeOilProdution-table3.5,bioFuelProdution-table3.7
Iraq,1985,26.65,"1,085.40",850,,821,0,850,292,,361,343,850,"44,204","44,204","44,204","44,204","44,204","44,204","44,204","44,204","44,204","44,204","44,204"
Kuwait,1985,26.29,475.9,"3,965",,"1,037",0,"4,200",198,,564,534,"4,200","21,540","21,540","21,540","21,540","21,540","21,540","21,540","21,540","21,540","21,540","21,540"
Libya,1985,27.31,894.6,"4,050","1,040",626,,"5,200",121,,556,232,"5,200","27,789","27,789","27,789","27,789","27,789","27,789","27,789","27,789","27,789","27,789","27,789"
Nigeria,1985,27.77,"1,333.30","3,059",0,"1,340",,"2,800",178,,234,172,"2,800","25,966","25,966","25,966","25,966","25,966","25,966","25,966","25,966","25,966","25,966","25,966"
Saudi Arabia,1985,27.54,"2,150.70","20,278",,"3,687",,"18,800",992,,"1,440","1,015","18,800","100,352","100,352","100,352","100,352","100,352","100,352","100,352","100,352","100,352","100,352","100,352"
United Arab Emirates,1985,27.43,977.7,"10,677","3,690","3,148",580,"13,210",180,,180,165,"13,210","40,587","40,587","40,587","40,587","40,587","40,587","40,587","40,587","40,587","40,587","40,587"
Venezuela,1985,na,825.9,"17,502",,"1,735",0,"17,326",397,,"1,345",957,"17,326","59,865","59,865","59,865","59,865","59,865","59,865","59,865","59,865","59,865","59,865","59,865"
OPEC,1985,27.01,"10,221.40","94,348","26,270","29,871",580,"113,906","3,401",,,"4,437","113,906","478,332","478,332","478,332","478,332","478,332","478,332","478,332","478,332","478,332","478,332","478,332"
Algeria,1986,14.53,255,"17,049","20,440","3,259",,"37,560",171,,471,434,"37,560","63,231","63,231","63,231","63,231","63,231","63,231","63,231","63,231","63,231","63,231","63,231"
Angola,1986,na,352.3,400,0,50,,400,30,,32,28,400,"7,077","7,077","7,077","7,077","7,077","7,077","7,077","7,077","7,077","7,077","7,077"
Congo,1986,na,108.9,0,0,70,,0,2,,21,9,0,"1,849","1,849","1,849","1,849","1,849","1,849","1,849","1,849","1,849","1,849","1,849"
Equatorial Guinea,1986,na,0,0,0,24,,0,1,,,,0,91,91,91,91,91,91,91,91,91,91,91
Gabon,1986,na,150.1,28,,17,,60,14,,25,18,60,"4,889","4,889","4,889","4,889","4,889","4,889","4,889","4,889","4,889","4,889","4,889"
IR Iran,1986,13.04,"1,454.00","15,180",0,"13,955",0,"15,200",869,,615,,"15,200","90,169","90,169","90,169","90,169","90,169","90,169","90,169","90,169","90,169","90,169","90,169"
Iraq,1986,13.63,"1,393.50",900,,821,0,"1,550",298,,361,349,"1,550","39,992","39,992","39,992","39,992","39,992","39,992","39,992","39,992","39,992","39,992","39,992"
Kuwait,1986,12.65,756,"5,409",,"1,167",650,"5,730",214,,614,565,"5,730","17,376","17,376","17,376","17,376","17,376","17,376","17,376","17,376","17,376","17,376","17,376"
Libya,1986,13.42,"1,067.00","4,758",860,728,,"5,600",120,,565,233,"5,600","22,613","22,613","22,613","22,613","22,613","22,613","22,613","22,613","22,613","22,613","22,613"
Nigeria,1986,14.48,"1,221.20","3,285",0,"2,400",,"3,299",180,,243,149,"3,299","20,563","20,563","20,563","20,563","20,563","20,563","20,563","20,563","20,563","20,563","20,563"
Saudi Arabia,1986,13.73,"3,265.80","25,205",,"4,021",,"25,200",941,,"1,440","1,096","25,200","85,872","85,872","85,872","85,872","85,872","85,872","85,872","85,872","85,872","85,872","85,872"
United Arab Emirates,1986,13.65,"1,127.80","12,206","4,430","5,414","1,500","15,220",227,,180,168,"15,220","33,930","33,930","33,930","33,930","33,930","33,930","33,930","33,930","33,930","33,930","33,930"
Venezuela,1986,na,948.7,"19,088",,"2,622",0,"19,074",402,,"1,345",957,"19,074","60,877","60,877","60,877","60,877","60,877","60,877","60,877","60,877","60,877","60,877","60,877"
OPEC,1986,13.53,"12,100.30","103,509","25,730","34,548","2,150","128,893","3,468",,,"4,566","128,893","448,529","448,529","448,529","448,529","448,529","448,529","448,529","448,529","448,529","448,529","448,529"
Algeria,1987,18.36,240,"18,571","25,750","3,163",,"43,170",175,,471,412,"43,170","64,609","64,609","64,609","64,609","64,609","64,609","64,609","64,609","64,609","64,609","64,609"
Angola,1987,na,342.4,450,0,54,,450,30,,32,29,450,"8,089","8,089","8,089","8,089","8,089","8,089","8,089","8,089","8,089","8,089","8,089"
Congo,1987,na,105.4,0,0,74,,0,2,,21,9,0,"2,298","2,298","2,298","2,298","2,298","2,298","2,298","2,298","2,298","2,298","2,298"
Equatorial Guinea,1987,na,0,0,0,11,,0,1,,,,0,111,111,111,111,111,111,111,111,111,111,111
Gabon,1987,na,145.1,116,,18,,110,12,,25,19,110,"3,699","3,699","3,699","3,699","3,699","3,699","3,699","3,699","3,699","3,699","3,699"
IR Iran,1987,16.57,"1,710.00","16,001",0,"13,922",0,"16,000",895,,615,,"16,000","103,856","103,856","103,856","103,856","103,856","103,856","103,856","103,856","103,856","103,856","103,856"
Iraq,1987,16.9,"1,717.00","1,000",,"1,000",0,"3,750",314,,361,349,"3,750","43,702","43,702","43,702","43,702","43,702","43,702","43,702","43,702","43,702","43,702","43,702"
Kuwait,1987,16.48,607,"8,048",,"1,205","2,750","4,780",227,,670,633,"4,780","20,817","20,817","20,817","20,817","20,817","20,817","20,817","20,817","20,817","20,817","20,817"
Libya,1987,17.74,810,"4,552",800,727,,"5,000",132,,565,278,"5,000","21,052","21,052","21,052","21,052","21,052","21,052","21,052","21,052","21,052","21,052","21,052"
Nigeria,1987,18.5,"1,065.20","3,702",0,"2,407",,"3,493",175,,266,177,"3,493","21,912","21,912","21,912","21,912","21,912","21,912","21,912","21,912","21,912","21,912","21,912"
Saudi Arabia,1987,17.23,"2,416.50","26,800",,"4,190",,"26,800",899,,"1,425","1,337","26,800","85,582","85,582","85,582","85,582","85,582","85,582","85,582","85,582","85,582","85,582","85,582"
United Arab Emirates,1987,17.54,"1,239.30","16,412","5,620","5,684","2,750","18,890",240,,180,167,"18,890","36,370","36,370","36,370","36,370","36,370","36,370","36,370","36,370","36,370","36,370","36,370"
Venezuela,1987,na,"1,026.90","18,607",,"2,838",0,"18,587",396,,"1,345",852,"18,587","46,854","46,854","46,854","46,854","46,854","46,854","46,854","46,854","46,854","46,854","46,854"
OPEC,1987,17.73,"11,424.80","114,259","32,170","35,293","5,500","141,030","3,496",,,"4,819","141,030","458,950","458,950","458,950","458,950","458,950","458,950","458,950","458,950","458,950","458,950","458,950"
Algeria,1988,15.14,244,"20,173","26,120","3,234",,"46,290",177,,471,436,"46,290","56,736","56,736","56,736","56,736","56,736","56,736","56,736","56,736","56,736","56,736","56,736"
Angola,1988,na,353.9,500,0,49,,500,34,,32,29,500,"8,775","8,775","8,775","8,775","8,775","8,775","8,775","8,775","8,775","8,775","8,775"
Congo,1988,na,135,0,0,73,,0,2,,21,9,0,"2,213","2,213","2,213","2,213","2,213","2,213","2,213","2,213","2,213","2,213","2,213"
Equatorial Guinea,1988,na,0,0,0,11,,0,1,,,,0,119,119,119,119,119,119,119,119,119,119,119
Gabon,1988,na,148.1,100,,16,,100,12,,25,19,100,"4,079","4,079","4,079","4,079","4,079","4,079","4,079","4,079","4,079","4,079","4,079"
IR Iran,1988,12.85,"1,696.00","20,003",0,"14,200",0,"20,000",897,,615,,"20,000","91,069","91,069","91,069","91,069","91,069","91,069","91,069","91,069","91,069","91,069","91,069"
Iraq,1988,13.66,"2,095.00","2,500",,"2,690",0,"5,600",328,,361,341,"5,600","43,411","43,411","43,411","43,411","43,411","43,411","43,411","43,411","43,411","43,411","43,411"
Kuwait,1988,12.61,698,"9,941",,"1,378","3,100","6,840",240,,670,649,"6,840","19,281","19,281","19,281","19,281","19,281","19,281","19,281","19,281","19,281","19,281","19,281"
Libya,1988,14.41,890,"4,441","1,060",827,,"5,500",136,,565,272,"5,500","23,764","23,764","23,764","23,764","23,764","23,764","23,764","23,764","23,764","23,764","23,764"
Nigeria,1988,15.11,"1,110.50","3,771",0,"2,476",,"3,770",187,,266,196,"3,770","24,311","24,311","24,311","24,311","24,311","24,311","24,311","24,311","24,311","24,311","24,311"
Saudi Arabia,1988,13.4,"3,030.10","29,102",,"5,020",,"29,100",983,,"1,425","1,380","29,100","88,138","88,138","88,138","88,138","88,138","88,138","88,138","88,138","88,138","88,138","88,138"
United Arab Emirates,1988,13.92,"1,321.50","17,594","6,080","5,663","2,900","19,360",284,,180,167,"19,360","36,261","36,261","36,261","36,261","36,261","36,261","36,261","36,261","36,261","36,261","36,261"
Venezuela,1988,na,972.7,"18,583",,"2,856",0,"19,028",408,,"1,288","1,005","19,028","60,378","60,378","60,378","60,378","60,378","60,378","60,378","60,378","60,378","60,378","60,378"
OPEC,1988,14.24,"12,694.80","126,707","33,260","38,493","6,000","156,088","3,689",,,"5,071","156,088","458,535","458,535","458,535","458,535","458,535","458,535","458,535","458,535","458,535","458,535","458,535"
Algeria,1989,18.53,280.5,"18,702","29,420","3,250",,"48,400",188,,475,417,"48,400","54,930","54,930","54,930","54,930","54,930","54,930","54,930","54,930","54,930","54,930","54,930"
Angola,1989,na,365.6,430,0,51,,430,35,,47,33,430,"10,208","10,208","10,208","10,208","10,208","10,208","10,208","10,208","10,208","10,208","10,208"
Congo,1989,na,153.9,0,0,73,,0,2,,21,9,0,"2,390","2,390","2,390","2,390","2,390","2,390","2,390","2,390","2,390","2,390","2,390"
Equatorial Guinea,1989,na,0,0,0,11,,0,1,,,,0,105,105,105,105,105,105,105,105,105,105,105
Gabon,1989,na,192.5,90,,14,,90,13,,25,19,90,"4,458","4,458","4,458","4,458","4,458","4,458","4,458","4,458","4,458","4,458","4,458"
IR Iran,1989,15.54,"2,120.00","22,203",0,"17,000",0,"22,200",951,,732,,"22,200","87,878","87,878","87,878","87,878","87,878","87,878","87,878","87,878","87,878","87,878","87,878"
Iraq,1989,16.33,"2,260.00","2,850",,"3,115",0,"6,450",353,,545,418,"6,450","48,422","48,422","48,422","48,422","48,422","48,422","48,422","48,422","48,422","48,422","48,422"
Kuwait,1989,15.23,850,"11,762",,"1,400","3,600","8,160",240,,670,647,"8,160","23,855","23,855","23,855","23,855","23,855","23,855","23,855","23,855","23,855","23,855","23,855"
Libya,1989,17.78,872,"4,666","1,430","1,218",,"6,800",143,,565,256,"6,800","25,157","25,157","25,157","25,157","25,157","25,157","25,157","25,157","25,157","25,157","25,157"
Nigeria,1989,18.5,"1,525.90","4,701",0,"2,832",,"4,322",192,,401,207,"4,322","23,487","23,487","23,487","23,487","23,487","23,487","23,487","23,487","23,487","23,487","23,487"
